idx,hair_color
303,gray_hair
304,gray_hair
305,gray_hair
306,gray_hair
307,gray_hair
308,gray_hair
309,gray_hair
310,gray_hair
311,gray_hair
312,gray_hair
313,gray_hair
314,gray_hair
315,gray_hair
316,gray_hair
317,gray_hair
318,gray_hair
319,gray_hair
320,gray_hair
321,gray_hair
322,gray_hair
323,gray_hair
324,gray_hair
325,gray_hair
326,gray_hair
327,gray_hair
328,gray_hair
329,gray_hair
330,gray_hair
331,gray_hair
332,gray_hair
333,gray_hair
334,gray_hair
335,gray_hair
336,gray_hair
337,gray_hair
338,gray_hair
339,gray_hair
340,gray_hair
341,gray_hair
342,gray_hair
343,gray_hair
344,gray_hair
345,gray_hair
346,gray_hair
347,gray_hair
348,gray_hair
349,gray_hair
350,gray_hair
351,gray_hair
352,gray_hair
353,gray_hair
354,gray_hair
355,gray_hair
356,gray_hair
357,gray_hair
358,gray_hair
359,gray_hair
360,gray_hair
361,gray_hair
362,gray_hair
363,gray_hair
364,gray_hair
365,gray_hair
366,gray_hair
367,gray_hair
368,gray_hair
369,gray_hair
370,gray_hair
371,gray_hair
372,gray_hair
373,gray_hair
374,gray_hair
375,gray_hair
376,gray_hair
377,gray_hair
378,gray_hair
379,gray_hair
380,gray_hair
381,gray_hair
382,gray_hair
383,gray_hair
384,gray_hair
385,gray_hair
386,gray_hair
387,gray_hair
388,gray_hair
389,gray_hair
390,gray_hair
391,gray_hair
392,gray_hair
393,gray_hair
394,gray_hair
395,gray_hair
396,gray_hair
397,gray_hair
398,gray_hair
399,gray_hair
